,UNITID,Cluster
485,121859,1
486,121868,1
487,121886,2
488,121901,2
489,121983,0
490,121992,1
492,122180,2
493,122205,2
494,122296,3
495,122339,2
496,122366,0
497,122375,2
498,122384,2
499,122409,2
500,122436,3
501,122454,3
502,122506,3
503,122597,2
505,122612,3
507,122658,2
508,122685,4
509,122694,4
510,122728,3
511,122746,2
512,122755,2
513,122791,2
514,122834,4
515,122843,0
516,122852,4
517,122889,2
518,122931,3
519,122977,2
520,123013,2
522,123165,3
523,123208,4
524,123217,2
525,123280,3
526,123299,2
527,123341,2
528,123350,1
529,123396,1
531,123457,3
532,123484,2
533,123493,4
534,123509,2
535,123527,2
536,123554,3
537,123563,2
538,123572,3
539,123581,4
540,123633,4
541,123642,4
542,123651,3
543,123679,4
544,123800,2
547,123952,3
548,123961,3
550,124113,2
552,124292,2
553,124344,1
554,124487,3
555,124681,4
556,124706,4
557,124779,1
558,124937,4
559,125028,2
560,125082,1
561,125091,2
562,125170,2
563,125231,0
565,125462,2
566,125471,2
567,125499,2
568,125532,4
570,125727,3
571,125763,3
572,125897,2
577,126119,2
578,126164,1
579,126182,2
580,126207,6
581,126289,2
582,126359,4
583,126401,4
584,126562,3
585,126580,3
586,126605,6
587,126614,3
588,126669,3
589,126678,3
590,126687,4
591,126702,3
592,126711,6
593,126748,6
594,126775,3
595,126784,6
596,126818,3
597,126827,0
598,126854,1
599,126863,2
600,126872,4
601,126915,6
602,126924,4
603,126942,2
604,126951,4
606,127024,0
607,127060,3
608,127158,2
609,127185,3
610,127200,2
611,127219,1
612,127228,1
614,127316,1
615,127389,6
616,127556,3
617,127565,2
618,127617,6
619,127653,3
620,127680,0
621,127699,4
622,127714,3
623,127732,6
624,127741,3
625,127778,6
626,127787,4
627,127820,2
628,127839,4
629,127884,2
630,127909,2
631,127918,3
632,127945,3
633,127954,1
634,128106,3
635,128151,6
636,128179,4
637,128188,4
638,128258,6
639,128337,1
640,128391,3
641,128498,3
642,128540,1
643,128577,6
644,128674,4
645,128683,4
647,128744,3
648,128771,3
649,128780,6
650,128896,4
651,128902,3
652,128957,1
653,129002,4
654,129020,3
655,129154,4
656,129181,6
657,129215,3
658,129242,3
659,129349,1
660,129367,6
662,129482,4
664,129525,3
665,129534,3
666,129543,6
667,129613,4
668,129686,3
669,129695,6
670,129729,6
671,129756,6
672,129774,3
673,129808,6
674,129923,4
675,129932,4
676,129941,3
677,129969,4
678,130004,6
679,130040,6
680,130110,3
681,130129,1
682,130174,4
683,130183,0
684,130217,6
685,130226,3
686,130253,3
687,130314,3
688,130396,6
689,130448,4
690,130493,3
691,130509,4
693,130590,3
694,130606,6
695,130697,3
696,130776,3
698,130794,3
699,130837,6
700,130873,4
701,130891,6
702,130907,6
703,130916,6
704,130934,7
705,130943,3
706,130989,3
707,131061,1
708,131098,3
709,131113,3
710,131159,3
711,131283,3
712,131308,3
713,131399,7
715,131450,3
716,131469,3
717,131496,3
718,131520,7
719,131742,4
720,131803,0
721,131830,1
722,131876,3
724,132268,6
725,132338,0
726,132374,6
727,132408,3
728,132471,3
730,132602,7
731,132657,3
732,132666,1
733,132675,6
734,132693,2
735,132709,2
736,132806,4
737,132842,0
738,132851,2
739,132879,3
740,132903,2
741,132976,6
742,133021,6
743,133085,3
744,133155,6
745,133386,2
746,133465,4
747,133492,3
748,133508,2
749,133526,7
750,133553,3
751,133650,7
752,133669,2
753,133702,2
754,133711,3
755,133809,6
756,133845,4
757,133854,4
758,133863,4
759,133872,4
760,133881,3
761,133942,4
762,133951,2
763,133960,6
764,133979,7
765,133997,4
766,134024,4
767,134079,3
768,134097,3
769,134112,4
770,134121,4
771,134130,2
772,134149,4
773,134228,1
774,134237,3
775,134291,6
776,134307,6
777,134343,2
778,134422,4
779,134495,2
780,134510,3
781,134529,1
782,134574,4
783,134608,2
784,134680,3
785,134714,1
786,134811,0
787,134909,0
788,134945,3
789,135063,4
790,135081,4
791,135124,4
792,135142,1
793,135160,6
794,135179,6
795,135188,2
796,135267,6
797,135276,6
798,135294,4
799,135337,1
800,135364,3
801,135391,2
802,135407,6
803,135416,1
804,135522,6
805,135610,2
806,135647,6
807,135717,2
808,135726,3
809,135735,6
810,135771,5
811,135939,4
